deal,derivation,direction,epistemic,id,label,locator,statement,type,unit,value
keystone,,supports,attested,claim:0000,,Executive findings,Alderstone generated FY2025 reported revenue of $74.0m.,claim,$m,74.0
,,,,entity:alderstone,Alderstone,,,entity,,
,,,,metric:revenue,Revenue,,,metric,,
,,,,period:fy2025a,FY2025A,,,period,,
,,,,perimeter:alderstone_consolidated_reported_revenue,Alderstone consolidated reported revenue,,,perimeter,,
,,,,source:qoe_report,QoE Report,,,source,,
,,,,author:qoe_provider,QoE provider,,,author,,
keystone,,supports,attested,claim:0001,,Executive findings,Alderstone reported EBITDA for FY2025 was $10.2m from historical accounts.,claim,$m,10.2
,,,,metric:ebitda,EBITDA,,,metric,,
,,,,perimeter:alderstone_consolidated_reported_ebitda,Alderstone consolidated reported EBITDA,,,perimeter,,
keystone,,supports,attested,claim:0002,,Executive findings,"Based on procedures performed and adjustments documented, normalized FY2025 EBITDA is $11.9m.",claim,$m,11.9
,,,,"perimeter:alderstone_consolidated_normalized_ebitda,_qoe-adjusted","Alderstone consolidated normalized EBITDA, QoE-adjusted",,,perimeter,,
,,,,area:earnings,Earnings,,,area,,
keystone,,supports,attested,claim:0003,,Normalized EBITDA schedule,Founder and executive compensation of $0.35m was accepted at market replacement cost.,claim,$m,0.35
,,,,metric:ebitda_adjustment_-_founder/executive_compensation,EBITDA Adjustment - Founder/Executive Compensation,,,metric,,
,,,,perimeter:alderstone_normalized_ebitda_add-back,Alderstone normalized EBITDA add-back,,,perimeter,,
keystone,,supports,attested,claim:0004,,Normalized EBITDA schedule,Transaction-readiness and professional-fee adjustment of $0.25m excludes recurring audit and compliance support.,claim,$m,0.25
,,,,metric:ebitda_adjustment_-_transaction-readiness_and_professional_fees,EBITDA Adjustment - Transaction-Readiness and Professional Fees,,,metric,,
keystone,,supports,attested,claim:0005,,Normalized EBITDA schedule,Integration and systems costs of $0.30m were accepted only for identifiable non-recurring items; $0.10m recurring cost retained by firm.,claim,$m,0.30
,,,,metric:ebitda_adjustment_-_integration_and_systems_costs,EBITDA Adjustment - Integration and Systems Costs,,,metric,,
,,,,"perimeter:alderstone_normalized_ebitda_add-back,_non-recurring_only","Alderstone normalized EBITDA add-back, non-recurring only",,,perimeter,,
keystone,,supports,attested,claim:0006,,Normalized EBITDA schedule,Legal and settlement expense of $0.20m was supported as a non-recurring item.,claim,$m,0.20
,,,,metric:ebitda_adjustment_-_legal_and_settlement_expense,EBITDA Adjustment - Legal and Settlement Expense,,,metric,,
keystone,,supports,attested,claim:0007,,Normalized EBITDA schedule,Duplicate occupancy and facility move costs of $0.15m represent an implemented closure.,claim,$m,0.15
,,,,metric:ebitda_adjustment_-_duplicate_occupancy_and_facility_move,EBITDA Adjustment - Duplicate Occupancy and Facility Move,,,metric,,
keystone,,supports,attested,claim:0008,,Normalized EBITDA schedule,Implemented headcount savings of $0.25m are additional covenant-certified savings.,claim,$m,0.25
,,,,metric:ebitda_adjustment_-_implemented_headcount_savings,EBITDA Adjustment - Implemented Headcount Savings,,,metric,,
keystone,,contradicts,attested,claim:0009,,Normalized EBITDA schedule,Pricing and utilization initiatives were not accepted as historical earnings adjustments because they represent forecast only.,claim,$m,0.0
,,,,metric:ebitda_adjustment_-_pricing_and_utilization_initiatives,EBITDA Adjustment - Pricing and Utilization Initiatives,,,metric,,
keystone,,contradicts,attested,claim:0010,,Normalized EBITDA schedule,Revenue cut-off correction of $0.10m negative adjustment reduced normalized EBITDA due to QoE finding.,claim,$m,-0.10
,,,,metric:ebitda_adjustment_-_revenue_cut-off,EBITDA Adjustment - Revenue Cut-Off,,,metric,,
,,,,perimeter:alderstone_normalized_ebitda_correction,Alderstone normalized EBITDA correction,,,perimeter,,
keystone,,supports,attested,claim:0011,,Normalized EBITDA schedule,Bonus accrual normalization of $0.20m was supported by the approved plan and subsequent reversal.,claim,$m,0.20
,,,,metric:ebitda_adjustment_-_bonus_accrual_normalization,EBITDA Adjustment - Bonus Accrual Normalization,,,metric,,
keystone,,supports,attested,claim:0012,,Normalized EBITDA schedule,Related-party rent of $0.10m was normalized to market terms and not recognized in covenant definition.,claim,$m,0.10
,,,,metric:ebitda_adjustment_-_related-party_rent_normalization,EBITDA Adjustment - Related-Party Rent Normalization,,,metric,,
keystone,,context,asserted,claim:0013,,Working-capital findings,The seller proposed a normalized operating working capital target of $7.7m.,claim,$m,7.7
,,,,metric:working_capital_-_seller_proposed_target,Working Capital - Seller Proposed Target,,,metric,,
,,,,"perimeter:alderstone_operating_working_capital,_seller_proposal","Alderstone operating working capital, seller proposal",,,perimeter,,
,,,,author:seller,Seller,,,author,,
keystone,,contradicts,attested,claim:0014,,Working-capital findings,"QoE-normalized operating working capital is $8.4m, exceeding the seller-proposed target of $7.7m.",claim,$m,8.4
,,,,metric:working_capital_-_normalized,Working Capital - Normalized,,,metric,,
,,,,"perimeter:alderstone_operating_working_capital,_qoe-normalized","Alderstone operating working capital, QoE-normalized",,,perimeter,,
keystone,WC difference = $8.4m normalized − $7.7m seller target = $0.7m variance,context,attested,claim:0015,,Working-capital findings,"The working capital difference of $0.7m reflects seasonal payroll accruals, aged unbilled WIP, acquired-branch billing delays, deferred-revenue normalization and month-end timing.",claim,,
