version,as_of_date,edge_id,source_node,target_node,edge_label,relation_type,kernel_treatment,runtime_behavior,archetype_condition,function_or_artifact,final_classification,claim_basis,perspective,primary_evidence_class,vault_evidence_class,all_evidence_classes,evidence_count,evidence_unit,evidence_denominator,behavioral_count,sponsor_behavioral_count,coinvestor_behavioral_count,sponsor_self_described_count,sponsor_derivative_count,manager_family_observable_n,behavioral_deal_observable_n,counterexample_count,counterexample_status,confidence,confidence_reason,implementation_reason,causal_mechanism,what_would_falsify,source_feature_ids,visual_source_id,visual_target_id,tier_c_version_scope
Engineering handoff v1.0,2026-07-16,AX-01,Opportunity_Assessment,Material_Resource_Commitment,Opportunity merits work before material resources are committed,GATE,AXIOM,Schema/state-machine invariant; non-configurable and not presented as an empirical finding.,UNIVERSAL,FUNCTION,ANALYTIC_AXIOM,ANALYTIC,LEAD_SPONSOR,SPONSOR_SELF_DESCRIBED,asserted,SPONSOR_SELF_DESCRIBED;CO_INVESTOR_BEHAVIOURAL,0,NOT_APPLICABLE,Analytic axiom; empirical corroboration is separate,24,0,24,24,0,24,48,0,,HIGH,"The negation is incoherent: committing material resources is itself an authorized decision, even when informal.",Analytic invariant; evidence_count remains zero because it is not a corpus finding.,A responsible actor must decide that expected information value justifies cost and exposure.,Not empirically falsifiable as formulated; operational implementations can vary.,"G01,G02,D02",Opportunity_Assessment,Material_Resource_Commitment,Tier C v1 evidence counts retained; not recalculated in the N=29 DDQ rerun.
Engineering handoff v1.0,2026-07-16,AX-02,Preliminary_Economic_View,Indicative_or_Binding_Price,A price or offer requires a preliminary economic view,INPUT,AXIOM,Schema/state-machine invariant; non-configurable and not presented as an empirical finding.,WHEN_PRICE_OR_OFFER_IS_ISSUED,FUNCTION,ANALYTIC_AXIOM,ANALYTIC,LEAD_SPONSOR,SPONSOR_SELF_DESCRIBED,asserted,SPONSOR_SELF_DESCRIBED,0,NOT_APPLICABLE,Analytic axiom; empirical corroboration is separate,0,0,0,24,0,24,0,0,,HIGH,"Issuing a price without any view of price, earnings or capital structure is definitionally incoherent.",Analytic invariant; evidence_count remains zero because it is not a corpus finding.,"The offer encodes an economic judgment, however provisional.",Not empirically falsifiable as formulated.,"U01,G03,G04",Preliminary_Economic_View,Indicative_or_Binding_Price,Tier C v1 evidence counts retained; not recalculated in the N=29 DDQ rerun.
Engineering handoff v1.0,2026-07-16,AX-03,Valid_Final_Authority,Binding_Commitment,Valid investment authority precedes an unconditional binding commitment,GATE,AXIOM,Schema/state-machine invariant; non-configurable and not presented as an empirical finding.,UNIVERSAL,FUNCTION,ANALYTIC_AXIOM,ANALYTIC,BOTH,CO_INVESTOR_BEHAVIOURAL,observed,CO_INVESTOR_BEHAVIOURAL;SPONSOR_SELF_DESCRIBED,0,NOT_APPLICABLE,Analytic/legal axiom; empirical corroboration is separate,23,0,23,24,0,24,48,0,,HIGH,A commitment made without authority is not a valid authorized fund decision.,Analytic invariant; evidence_count remains zero because it is not a corpus finding.,Governance authority converts analysis into a binding act.,A validly binding commitment demonstrably made before any authorized decision under governing documents.,"G07,G08",Valid_Final_Authority,Binding_Commitment,Tier C v1 evidence counts retained; not recalculated in the N=29 DDQ rerun.
Engineering handoff v1.0,2026-07-16,AX-04,Closing_Readiness,Funding_and_Closing,Closing conditions and release controls precede funding and closing,GATE,AXIOM,Schema/state-machine invariant; non-configurable and not presented as an empirical finding.,UNIVERSAL,FUNCTION,ANALYTIC_AXIOM,ANALYTIC,BOTH,CO_INVESTOR_BEHAVIOURAL,observed,CO_INVESTOR_BEHAVIOURAL;SPONSOR_SELF_DESCRIBED,0,NOT_APPLICABLE,Analytic/legal axiom; empirical corroboration is separate,11,0,11,16,0,16,48,0,,HIGH,Closing readiness is defined by satisfaction or valid waiver of the requirements for closing.,Analytic invariant; evidence_count remains zero because it is not a corpus finding.,"Legal, financing, compliance and funds-flow controls permit release of capital.",A completed funding with unsatisfied and unwaived binding conditions.,G09,Closing_Readiness,Funding_and_Closing,Tier C v1 evidence counts retained; not recalculated in the N=29 DDQ rerun.
Engineering handoff v1.0,2026-07-16,AX-05,CoInvestor_Approval,CoInvestor_Commitment_and_Funding,CO_INVESTOR approval precedes CO_INVESTOR commitment and funding,GATE,AXIOM,Schema/state-machine invariant; non-configurable and not presented as an empirical finding.,SPONSOR_LED_COINVESTMENT,FUNCTION,ANALYTIC_AXIOM,ANALYTIC,CO_INVESTOR,CO_INVESTOR_BEHAVIOURAL,observed,CO_INVESTOR_BEHAVIOURAL,0,NOT_APPLICABLE,Analytic governance axiom; empirical corroboration is separate,23,0,23,0,0,0,48,0,,HIGH,CO_INVESTOR cannot validly commit its capital without its own authorized decision.,Analytic invariant; evidence_count remains zero because it is not a corpus finding.,CO_INVESTOR governance is distinct from sponsor approval.,A valid CO_INVESTOR commitment demonstrably predating CO_INVESTOR authority.,,CoInvestor_Approval,CoInvestor_Commitment_and_Funding,Tier C v1 evidence counts retained; not recalculated in the N=29 DDQ rerun.
Engineering handoff v1.0,2026-07-16,EMP-01,Opportunity_Specific_Information,Model_and_Investment_Thesis,"Company, seller and management information feeds the model and thesis",INPUT,ENFORCE,Block state advancement until the required function or evidence disposition is satisfied.,UNIVERSAL_AT_FUNCTION_LEVEL,FUNCTION,EMPIRICAL_STRUCTURAL,EMPIRICAL,BOTH,SPONSOR_SELF_DESCRIBED,asserted,SPONSOR_SELF_DESCRIBED;SPONSOR_BEHAVIOURAL;SPONSOR_DERIVATIVE;CO_INVESTOR_BEHAVIOURAL,24,MANAGER_FAMILIES,24 manager families; 11 deeply validated deals,13,4,9,24,4,24,11,0,,HIGH,All manager families describe opportunity-specific underwriting; multiple deal files show management/sponsor/CO_INVESTOR case lineage.,High-confidence empirical function with 13 direct behavioural observations across the available deal corpus and no material functional counterexample.,The model requires facts about the target rather than only generic sector knowledge.,A final target-specific underwrite containing no target-specific information.,"U01,D07",Opportunity_Specific_Information,Model_and_Investment_Thesis,Tier C v1 evidence counts retained; not recalculated in the N=29 DDQ rerun.
Engineering handoff v1.0,2026-07-16,EMP-02,Sponsor_or_Company_Information,CoInvestor_Final_Decision,Sponsor/company information is an input to the co-investor decision,INPUT,ENFORCE,Block state advancement until the required function or evidence disposition is satisfied.,SPONSOR_LED_COINVESTMENT,FUNCTION,EMPIRICAL_STRUCTURAL,EMPIRICAL,CO_INVESTOR,CO_INVESTOR_BEHAVIOURAL,observed,CO_INVESTOR_BEHAVIOURAL;SPONSOR_DERIVATIVE,23,CO_INVESTOR_OPPORTUNITIES_REACHING_IC,23 of 48 recent CO_INVESTOR opportunities reached IC; 10 detailed reports/transfer cases,23,0,23,0,7,0,48,0,,HIGH,Actual CO_INVESTOR stage paths and detailed reports show CO_INVESTOR receives sponsor/company information before its own decision.,High-confidence empirical function with 23 direct behavioural observations across the available deal corpus and no material functional counterexample.,The co-investor is not the primary diligence principal and needs transmitted target and sponsor analysis.,"CO_INVESTOR final approval made with no sponsor, company or authorized intermediary information.",,Sponsor_or_Company_Information,CoInvestor_Final_Decision,Tier C v1 evidence counts retained; not recalculated in the N=29 DDQ rerun.
Engineering handoff v1.0,2026-07-16,EMP-03,Diligence_Findings,Model_Price_Risk_and_Terms,"Diligence findings revise the model, price, risk register and transaction terms",FEEDBACK,CONFIGURE,Provide a default and archetype condition; permit authorized client override with recorded rationale.,UNIVERSAL_DYNAMIC,FUNCTION,EMPIRICAL_STRUCTURAL,EMPIRICAL,LEAD_SPONSOR,SPONSOR_SELF_DESCRIBED,asserted,SPONSOR_SELF_DESCRIBED;SPONSOR_BEHAVIOURAL;SPONSOR_DERIVATIVE;CO_INVESTOR_BEHAVIOURAL,24,MANAGER_FAMILIES,24 manager families; 11 deeply validated deals,8,3,5,24,2,24,11,0,,HIGH,"All manager families describe iteration; an anonymized deal observation, an anonymized deal observation, an anonymized deal observation, an anonymized deal observation and an anonymized deal observation preserve revisions or feedback.","The function is conditional, organization-dependent or explicitly variable across managers; preserve the default and condition but allow authorized override.",Evidence changes assumptions and economics; sensitivities in turn redirect diligence.,A repeatably fixed final underwrite unaffected by material contrary diligence across observable deals.,"U04,U02",Diligence_Findings,Model_Price_Risk_and_Terms,Tier C v1 evidence counts retained; not recalculated in the N=29 DDQ rerun.
Engineering handoff v1.0,2026-07-16,EMP-04,Final_Evidence_Synthesis,Final_Investment_Authority,A synthesized and sufficiently bounded case precedes final investment authority,FINALIZATION,ENFORCE,Block state advancement until the required function or evidence disposition is satisfied.,UNIVERSAL_AT_FUNCTION_LEVEL,FUNCTION,EMPIRICAL_STRUCTURAL,EMPIRICAL,BOTH,SPONSOR_SELF_DESCRIBED,asserted,SPONSOR_SELF_DESCRIBED;CO_INVESTOR_BEHAVIOURAL;SPONSOR_BEHAVIOURAL,24,MANAGER_FAMILIES,24 manager families; 23 recent CO_INVESTOR IC-stage opportunities,27,4,23,24,0,24,48,0,,HIGH,Progressive materials and actual CO_INVESTOR IC paths converge on a final synthesis gate.,High-confidence empirical function with 27 direct behavioural observations across the available deal corpus and no material functional counterexample.,"Decision-makers need economics, risks, terms and open-item disposition sufficiently bounded to exercise authority.",Final authority systematically issued before any synthesis of material evidence.,"G05,U05,U07",Final_Evidence_Synthesis,Final_Investment_Authority,Tier C v1 evidence counts retained; not recalculated in the N=29 DDQ rerun.
Engineering handoff v1.0,2026-07-16,EMP-05,Underwrite_and_VCP,Ownership_KPIs_and_Monitoring,The acquisition underwrite is converted into ownership accountability and monitoring,INPUT,CONFIGURE,Provide a default and archetype condition; permit authorized client override with recorded rationale.,LEAD_CONTROL_INVESTOR,FUNCTION,EMPIRICAL_STRUCTURAL,EMPIRICAL,LEAD_SPONSOR,SPONSOR_SELF_DESCRIBED,asserted,SPONSOR_SELF_DESCRIBED;SPONSOR_DERIVATIVE;CO_INVESTOR_BEHAVIOURAL,24,MANAGER_FAMILIES,24 manager families; behavioural ownership lineage limited,3,1,2,24,1,24,11,0,,MEDIUM,"Manager convergence is complete, but sponsor-authored ownership-transition evidence is sparse in the co-investor archive.","The function is conditional, organization-dependent or explicitly variable across managers; preserve the default and condition but allow authorized override.","Value creation requires translating assumptions into owners, budgets, milestones and KPIs.",Control investments consistently managed without reference to any underwriting objectives or monitoring system.,"O02,U09",Underwrite_and_VCP,Ownership_KPIs_and_Monitoring,Tier C v1 evidence counts retained; not recalculated in the N=29 DDQ rerun.
Engineering handoff v1.0,2026-07-16,EMP-06,Exit_Assessment_and_Authority,Realization,Exit assessment and valid disposition authority precede realization,GATE,CONFIGURE,Provide a default and archetype condition; permit authorized client override with recorded rationale.,INVESTMENT_REALIZATION,FUNCTION,EMPIRICAL_STRUCTURAL,EMPIRICAL,LEAD_SPONSOR,SPONSOR_SELF_DESCRIBED,asserted,SPONSOR_SELF_DESCRIBED;CO_INVESTOR_BEHAVIOURAL,18,MANAGER_FAMILIES,18 observable manager families; CO_INVESTOR portfolio records include proceeds/exit events,2,0,2,18,0,18,48,0,,MEDIUM,Formal exit approval is described by most observable managers; the archive has less granular exit authority evidence than entry evidence.,"The function is conditional, organization-dependent or explicitly variable across managers; preserve the default and condition but allow authorized override.",A realization changes ownership and requires a disposition decision.,Repeated realizations executed without any authorized disposition decision.,"G10,O04",Exit_Assessment_and_Authority,Realization,Tier C v1 evidence counts retained; not recalculated in the N=29 DDQ rerun.
Engineering handoff v1.0,2026-07-16,FS-01,Credible_Financial_Verification,Normalized_Earnings_Cash_and_Valuation,"Financial verification feeds normalized earnings, cash flow and valuation",INPUT,ENFORCE,Block state advancement until the required function or evidence disposition is satisfied.,UNIVERSAL_AT_FUNCTION_LEVEL,FUNCTION,FUNCTIONALLY_STRUCTURAL_ARTIFACT_SUBSTITUTABLE,EMPIRICAL,BOTH,SPONSOR_SELF_DESCRIBED,asserted,SPONSOR_SELF_DESCRIBED;SPONSOR_BEHAVIOURAL;CO_INVESTOR_BEHAVIOURAL,22,MANAGER_FAMILIES,22 observable manager families; 8 deeply validated deals,10,4,6,22,0,22,11,1,"an anonymized deal observation disproves mandatory formal QoE, not financial verification.",HIGH,Manager convergence and behavioural artifacts support the function; an anonymized deal observation demonstrates artifact substitution.,High-confidence empirical function with 10 direct behavioural observations across the available deal corpus and no material functional counterexample.,"Price, leverage and returns depend on a credible earnings, working-capital, capex and cash base.",A final leveraged underwrite with no verification of any financial information.,D08,Credible_Financial_Verification,Normalized_Earnings_Cash_and_Valuation,Tier C v1 evidence counts retained; not recalculated in the N=29 DDQ rerun.
Engineering handoff v1.0,2026-07-16,FS-02,Commercial_Validation,Revenue_and_Market_Assumptions,"Commercial validation feeds material demand, pricing, retention and competition assumptions",INPUT,CONFIGURE,Provide a default and archetype condition; permit authorized client override with recorded rationale.,WHEN_COMMERCIAL_ASSUMPTIONS_ARE_MATERIAL,FUNCTION,FUNCTIONALLY_STRUCTURAL_ARTIFACT_SUBSTITUTABLE,EMPIRICAL,BOTH,SPONSOR_SELF_DESCRIBED,asserted,SPONSOR_SELF_DESCRIBED;SPONSOR_BEHAVIOURAL;CO_INVESTOR_BEHAVIOURAL,24,MANAGER_FAMILIES,24 manager families; 10 CO_INVESTOR rejections cite commercial/market issues,14,4,10,24,0,24,48,0,,HIGH,All manager families describe customer/expert/reference work; commercial issues are the largest observed CO_INVESTOR rejection category.,"The function is conditional, organization-dependent or explicitly variable across managers; preserve the default and condition but allow authorized override.",Revenue and market assumptions are decision-sensitive and require evidence when material.,Material market/revenue assumptions accepted without any internal or external validation.,"D07,S01",Commercial_Validation,Revenue_and_Market_Assumptions,Tier C v1 evidence counts retained; not recalculated in the N=29 DDQ rerun.
Engineering handoff v1.0,2026-07-16,FS-03,Legal_Regulatory_and_Tax_Assessment,Perimeter_Protections_and_Closing_Requirements,"Legal, regulatory and tax assessment feeds perimeter, protections and closing requirements",INPUT,CONFIGURE,Provide a default and archetype condition; permit authorized client override with recorded rationale.,WHEN_MATERIAL_TO_TRANSACTION,FUNCTION,FUNCTIONALLY_STRUCTURAL_ARTIFACT_SUBSTITUTABLE,EMPIRICAL,BOTH,SPONSOR_SELF_DESCRIBED,asserted,SPONSOR_SELF_DESCRIBED;SPONSOR_BEHAVIOURAL;CO_INVESTOR_BEHAVIOURAL,24,MANAGER_FAMILIES,24 manager families; 5 structure/tax and 1 regulatory CO_INVESTOR rejection categories,10,4,6,24,0,24,48,0,,HIGH,Universal manager self-description and actual transaction/rejection evidence support the function.,"The function is conditional, organization-dependent or explicitly variable across managers; preserve the default and condition but allow authorized override.","The sponsor must establish what is acquired, liabilities assumed, required consents and acceptable protections.",A final acquisition decision made without any legal/regulatory assessment despite material legal or regulatory exposure.,D10,Legal_Regulatory_and_Tax_Assessment,Perimeter_Protections_and_Closing_Requirements,Tier C v1 evidence counts retained; not recalculated in the N=29 DDQ rerun.
Engineering handoff v1.0,2026-07-16,CS-01,Model,Quantified_Value_Creation_Plan,The model and quantified VCP revise one another when value creation drives the underwrite,FEEDBACK,CONFIGURE,Provide a default and archetype condition; permit authorized client override with recorded rationale.,VCP_MATERIAL_TO_RETURNS,FUNCTION,CONDITIONAL_STRUCTURAL,EMPIRICAL,LEAD_SPONSOR,SPONSOR_SELF_DESCRIBED,asserted,SPONSOR_SELF_DESCRIBED;SPONSOR_BEHAVIOURAL;SPONSOR_DERIVATIVE;CO_INVESTOR_BEHAVIOURAL,23,MANAGER_FAMILIES,23 observable manager families; 6 deeply validated deals,7,3,4,23,2,23,11,0,,HIGH,The linkage is widely explicit and behaviorally visible where returns depend on operating initiatives.,"The function is conditional, organization-dependent or explicitly variable across managers; preserve the default and condition but allow authorized override.","VCP timing, cost and impact alter cash flows and returns; model sensitivities determine which levers need evidence.",A materially VCP-dependent underwrite whose quantified economics never change with VCP evidence.,"U07,U08",Model,Quantified_Value_Creation_Plan,Tier C v1 evidence counts retained; not recalculated in the N=29 DDQ rerun.
Engineering handoff v1.0,2026-07-16,CS-02,Financing_Assessment,Final_Approval_or_Signing,Financing and debt-capacity assessment precedes final approval or signing in leveraged deals,FINALIZATION,CONFIGURE,Provide a default and archetype condition; permit authorized client override with recorded rationale.,LEVERAGED_ACQUISITION,FUNCTION,CONDITIONAL_STRUCTURAL,EMPIRICAL,LEAD_SPONSOR,SPONSOR_SELF_DESCRIBED,asserted,SPONSOR_SELF_DESCRIBED;SPONSOR_BEHAVIOURAL;SPONSOR_DERIVATIVE,24,MANAGER_FAMILIES,24 manager families; 6 deeply validated leveraged deals,4,4,0,24,2,24,11,0,,HIGH,All managers integrate financing before approval; deal artifacts show leverage and lender feedback in the decision case.,"The function is conditional, organization-dependent or explicitly variable across managers; preserve the default and condition but allow authorized override.","Debt availability, cost and covenant headroom determine equity need, price support and downside liquidity.",A leveraged final approval with no debt-capacity or financing assessment.,D09,Financing_Assessment,Final_Approval_or_Signing,Tier C v1 evidence counts retained; not recalculated in the N=29 DDQ rerun.
Engineering handoff v1.0,2026-07-16,CS-03,Carveout_Perimeter_TSA_and_Standalone_Work,Final_Approval,Carve-out perimeter and standalone work precedes final approval,FINALIZATION,CONFIGURE,Provide a default and archetype condition; permit authorized client override with recorded rationale.,CORPORATE_CARVEOUT,FUNCTION,CONDITIONAL_STRUCTURAL,EMPIRICAL,LEAD_SPONSOR,SPONSOR_BEHAVIOURAL,observed,SPONSOR_BEHAVIOURAL;SPONSOR_SELF_DESCRIBED,1,SPONSOR_BEHAVIOURAL_DEAL,1 deeply validated carve-out plus manager process descriptions,1,1,0,6,0,0,1,0,,MEDIUM,an anonymized deal observation supplies direct behavioural evidence; the causal mechanism is strong but behavioural N is small.,"The function is conditional, organization-dependent or explicitly variable across managers; preserve the default and condition but allow authorized override.","The buyer must establish acquired perimeter, standalone costs, systems, people and separation requirements.",A carve-out final approval with no assessment of perimeter or standalone viability.,,Carveout_Perimeter_TSA_and_Standalone_Work,Final_Approval,Tier C v1 evidence counts retained; not recalculated in the N=29 DDQ rerun.
Engineering handoff v1.0,2026-07-16,CS-04,Management_Talent_Rollover_and_Succession,Final_Approval,Management capability and alignment feed final approval in founder/first-institutional-capital deals,FINALIZATION,CONFIGURE,Provide a default and archetype condition; permit authorized client override with recorded rationale.,FOUNDER_OWNED_OR_MANAGEMENT_DEPENDENT,FUNCTION,CONDITIONAL_STRUCTURAL,EMPIRICAL,BOTH,CO_INVESTOR_BEHAVIOURAL,observed,CO_INVESTOR_BEHAVIOURAL;SPONSOR_BEHAVIOURAL;SPONSOR_SELF_DESCRIBED,5,DEEPLY_VALIDATED_DEALS,5 deeply validated management-dependent deals,7,2,5,16,0,0,5,0,,HIGH,"Management dependence, rollover and succession are explicit swing factors in several founder/management-led deals.","The function is conditional, organization-dependent or explicitly variable across managers; preserve the default and condition but allow authorized override.","The plan cannot be executed if the key team is incapable, misaligned or unavailable.",A management-dependent deal approved without any assessment of management capability or alignment.,G16,Management_Talent_Rollover_and_Succession,Final_Approval,Tier C v1 evidence counts retained; not recalculated in the N=29 DDQ rerun.
Engineering handoff v1.0,2026-07-16,CS-05,IC_Recommendation,Separate_Board_GP_or_ExCo_Authority,A separate authority follows IC recommendation where governance delegates final legal authority,GATE,CONFIGURE,Provide a default and archetype condition; permit authorized client override with recorded rationale.,DUAL_AUTHORITY_GOVERNANCE,FUNCTION,CONDITIONAL_STRUCTURAL,EMPIRICAL,BOTH,CO_INVESTOR_BEHAVIOURAL,observed,CO_INVESTOR_BEHAVIOURAL;SPONSOR_SELF_DESCRIBED,17,CO_INVESTOR_OPPORTUNITIES_WITH_EXCO,17 of 48 recent CO_INVESTOR opportunities show ExCo after/with IC; 3 manager families disclose separate final authority,17,0,17,3,0,24,48,0,,HIGH,Actual CO_INVESTOR paths and three manager families distinguish analytical recommendation from legal/final authority.,"The function is conditional, organization-dependent or explicitly variable across managers; preserve the default and condition but allow authorized override.",Different governing bodies hold investment judgment and legal execution authority.,"In a disclosed dual-authority structure, commitments consistently bind before the second authority acts.",G08,IC_Recommendation,Separate_Board_GP_or_ExCo_Authority,Tier C v1 evidence counts retained; not recalculated in the N=29 DDQ rerun.
Engineering handoff v1.0,2026-07-16,CS-06,Sponsor_or_Company_Information,Intermediary_PPM_then_CO_INVESTOR_Decision,Sponsor/company information passes through an intermediary before CO_INVESTOR decision,INPUT,CONFIGURE,Provide a default and archetype condition; permit authorized client override with recorded rationale.,INTERMEDIATED_COINVESTMENT,FUNCTION,CONDITIONAL_STRUCTURAL,EMPIRICAL,CO_INVESTOR,SPONSOR_DERIVATIVE,derived,SPONSOR_DERIVATIVE,1,INTERMEDIATED_DEAL,1 deeply validated intermediated co-investment,0,0,0,0,1,0,1,0,,HIGH,One intermediated offering memorandum explicitly identifies sponsor/company information and states that the intermediary did not independently verify it.,"The function is conditional, organization-dependent or explicitly variable across managers; preserve the default and condition but allow authorized override.",The intermediary creates an additional documentary and governance layer between sponsor and CO_INVESTOR.,An intermediated CO_INVESTOR investment completed without receiving intermediary or sponsor/company information.,,Sponsor_or_Company_Information,Intermediary_PPM_then_CO_INVESTOR_Decision,Tier C v1 evidence counts retained; not recalculated in the N=29 DDQ rerun.
Engineering handoff v1.0,2026-07-16,CS-07,Accepted_Offer_or_Exclusivity,Confirmatory_Diligence,Accepted offer or exclusivity precedes confirmatory diligence when access is withheld or broken-deal cost is material,FINALIZATION,CONFIGURE,Provide a default and archetype condition; permit authorized client override with recorded rationale.,ACCESS_CONSTRAINED_AUCTION_OR_COST_GATED_PROCESS,FUNCTION,CONDITIONAL_STRUCTURAL,EMPIRICAL,LEAD_SPONSOR,SPONSOR_SELF_DESCRIBED,asserted,SPONSOR_SELF_DESCRIBED;SPONSOR_BEHAVIOURAL,8,MANAGER_FAMILIES,8 manager families explicitly describe this pattern; 2 behavioural counterexamples to universality,2,2,0,8,0,8,2,2,an anonymized deal observation and an anonymized deal observation show substantial work before LOI/exclusivity finalization.,MEDIUM,The pattern is real under specified access/cost conditions but is not universal.,"The function is conditional, organization-dependent or explicitly variable across managers; preserve the default and condition but allow authorized override.",Seller access and cost economics can make offer acceptance the trigger for deeper work.,"Within an explicitly access-constrained process, full confirmatory access consistently occurs before any accepted offer/exclusivity.",D03,Accepted_Offer_or_Exclusivity,Confirmatory_Diligence,Tier C v1 evidence counts retained; not recalculated in the N=29 DDQ rerun.
Engineering handoff v1.0,2026-07-16,CS-08,AddOn_Economics_and_Integration_Capacity,AddOn_Approval,Incremental economics and integration capacity precede add-on approval,INPUT,CONFIGURE,Provide a default and archetype condition; permit authorized client override with recorded rationale.,BUY_AND_BUILD_ADDON,FUNCTION,CONDITIONAL_STRUCTURAL,EMPIRICAL,LEAD_SPONSOR,SPONSOR_SELF_DESCRIBED,asserted,SPONSOR_SELF_DESCRIBED,12,MANAGER_FAMILIES,12 observable manager families,0,0,0,12,0,12,0,0,,MEDIUM,Formal add-on approval is observed in half of the manager corpus; the causal mechanism is strategy-specific.,"The function is conditional, organization-dependent or explicitly variable across managers; preserve the default and condition but allow authorized override.","Prior platform diligence can be reused, but incremental price, synergies, leverage and integration still require assessment.",Material add-ons repeatedly approved with no incremental economic or integration assessment.,O05,AddOn_Economics_and_Integration_Capacity,AddOn_Approval,Tier C v1 evidence counts retained; not recalculated in the N=29 DDQ rerun.
Engineering handoff v1.0,2026-07-16,CFG-01,First_IC,LOI_or_Term_Sheet,The order of first IC and LOI/term sheet is configurable,GATE,CONFIGURE,Provide a default and archetype condition; permit authorized client override with recorded rationale.,NONE,FUNCTION,CONFIGURABLE,EMPIRICAL,LEAD_SPONSOR,SPONSOR_SELF_DESCRIBED,asserted,SPONSOR_SELF_DESCRIBED,14,MANAGER_FAMILIES_WITH_LOI_AUTHORITY_OBSERVED,14 observable manager families; GEF explicitly permits either order,0,0,0,14,0,14,0,1,Explicit either-order statement rejects a universal edge.,HIGH,Multiple manager architectures place the first formal gate at different points.,"The function is conditional, organization-dependent or explicitly variable across managers; preserve the default and condition but allow authorized override.","The required function is offer authority, not a universal calendar order.",All independently observed managers converge on one mandatory order.,"G03,G04",First_IC,LOI_or_Term_Sheet,Tier C v1 evidence counts retained; not recalculated in the N=29 DDQ rerun.
Engineering handoff v1.0,2026-07-16,CFG-02,External_Adviser_Work,LOI_or_Exclusivity,External-adviser work can occur before or after LOI/exclusivity,START,CONFIGURE,Provide a default and archetype condition; permit authorized client override with recorded rationale.,NONE,FUNCTION,CONFIGURABLE,EMPIRICAL,LEAD_SPONSOR,SPONSOR_SELF_DESCRIBED,asserted,SPONSOR_SELF_DESCRIBED;SPONSOR_BEHAVIOURAL,8,MANAGER_FAMILIES_EXPLICITLY_POST_LOI_OR_EXCLUSIVITY,8 explicit post-trigger families plus behavioural pre-trigger cases,2,2,0,8,0,8,2,2,an anonymized deal observation and an anonymized deal observation demonstrate substantial pre-trigger work.,HIGH,Both orders are directly observed.,"The function is conditional, organization-dependent or explicitly variable across managers; preserve the default and condition but allow authorized override.","Timing reflects access, competition, cost and speed.",Only one order remains observable after adequate counterexample coverage.,"D03,D02",External_Adviser_Work,LOI_or_Exclusivity,Tier C v1 evidence counts retained; not recalculated in the N=29 DDQ rerun.
Engineering handoff v1.0,2026-07-16,CFG-03,Operating_Team_Entry,Screen_or_Post_Conviction,Operating-team entry timing is configurable,START,CONFIGURE,Provide a default and archetype condition; permit authorized client override with recorded rationale.,NONE,FUNCTION,CONFIGURABLE,EMPIRICAL,LEAD_SPONSOR,SPONSOR_SELF_DESCRIBED,asserted,SPONSOR_SELF_DESCRIBED,22,MANAGER_FAMILIES,22 observable manager families,0,0,0,20,0,22,0,0,,HIGH,"Most enter early, but explicit absence/later entry exists and does not break the process.","The function is conditional, organization-dependent or explicitly variable across managers; preserve the default and condition but allow authorized override.","Organization design determines whether operational expertise is internal, external or delayed.",A single entry point becomes universal across independent architectures.,"D04,D05",Operating_Team_Entry,Screen_or_Post_Conviction,Tier C v1 evidence counts retained; not recalculated in the N=29 DDQ rerun.
Engineering handoff v1.0,2026-07-16,CFG-04,PreInvestment_Governance,Number_and_Names_of_Gates,The number and names of formal pre-investment gates are configurable,GATE,CONFIGURE,Provide a default and archetype condition; permit authorized client override with recorded rationale.,NONE,ARTIFACT_AND_GOVERNANCE_DESIGN,CONFIGURABLE,EMPIRICAL,LEAD_SPONSOR,SPONSOR_SELF_DESCRIBED,asserted,SPONSOR_SELF_DESCRIBED,24,MANAGER_FAMILIES,24 manager families,0,0,0,24,0,24,0,0,,HIGH,"One broad IC, two-stage and four-plus-stage systems all perform the necessary functions.","The function is conditional, organization-dependent or explicitly variable across managers; preserve the default and condition but allow authorized override.","Gate design allocates information, cost and authority; functions persist under different labels.",All independent managers use the same mandatory gate architecture.,"G05,G06,U05,U06",PreInvestment_Governance,Number_and_Names_of_Gates,Tier C v1 evidence counts retained; not recalculated in the N=29 DDQ rerun.
Engineering handoff v1.0,2026-07-16,CFG-05,Authorized_Decision_Body,Vote_Threshold_or_Veto,"Majority, consensus, supermajority, unanimity and veto rules are configurable",GATE,CONFIGURE,Provide a default and archetype condition; permit authorized client override with recorded rationale.,NONE,GOVERNANCE_IMPLEMENTATION,CONFIGURABLE,EMPIRICAL,LEAD_SPONSOR,SPONSOR_SELF_DESCRIBED,asserted,SPONSOR_SELF_DESCRIBED,18,MANAGER_FAMILIES_WITH_VOTING_RULE_OBSERVED,18 observable manager families,0,0,0,18,0,18,0,0,,HIGH,All major voting implementations are directly observed.,"The function is conditional, organization-dependent or explicitly variable across managers; preserve the default and condition but allow authorized override.","The deeper requirement is valid authority, not one voting formula.",One voting rule proves legally and operationally necessary across all structures.,"G11,G12,G13,G14,G15",Authorized_Decision_Body,Vote_Threshold_or_Veto,Tier C v1 evidence counts retained; not recalculated in the N=29 DDQ rerun.
