id,from,to,artifact_dependency,edge_mode,blocking_condition,parallel_allowed,enforcement,logic
E01,access_clearance,source_case_ingestion,AccessGrant,BLOCKS,source materials are non-public/confidential,false,block confidential ingestion,The team needs permission before ingesting confidential materials.
E02,source_case_ingestion,screening_assessment,initial_claims,BLOCKS,screening requires at least one source case or public basis,false,block screening decision if no case material indexed,"Screening must evaluate a case, not an empty folder."
E03,screening_assessment,question_engine,ScreeningAssessment,BLOCKS,heavy diligence needs a rationale or exception,false,require screening rationale or exception,"Questions should flow from an articulated thesis/risk, not passive data-room browsing."
E04,source_case_ingestion,financial_qoe,historical_financials_or_claims,BLOCKS_FINAL_OUTPUT,no financial source set or documented alternative evidence basis exists,true,warn at start; block completed financial output without an evidence basis,Financial diligence requires a defined set of financial claims or records to test.
E05,source_case_ingestion,commercial_market,market_growth_or_customer_claims,BLOCKS_FINAL_OUTPUT,"no commercial claim set, source material, or explicit external-research mandate exists",true,warn at start; block completed commercial output without a defined evidence mandate,"Commercial diligence requires claims, source material, or a defined research mandate."
E06,source_case_ingestion,management_sponsor,management_sponsor_claims,BLOCKS_FINAL_OUTPUT,"management, sponsor, or governance counterparties are not identified",true,warn at start; block completed assessment until the relevant actors are identified,Capability and alignment assessment requires knowing who is responsible for executing and governing the case.
E07,question_engine,financial_qoe,financial_questions,PARALLEL_SOFT,critical financial question exists,true,route question to financial owner; critical status blocks IC not start,"Questions guide financial diligence, but diligence can also start from available data."
E08,question_engine,commercial_market,commercial_questions,PARALLEL_SOFT,critical commercial question exists,true,route question to commercial owner; critical status blocks IC not start,Questions and commercial diligence iterate.
E09,financial_qoe,question_engine,material_financial_finding,ITERATIVE_RETURN,finding affects earnings/cash flow/debt/working capital basis,true,reopen question register,Financial findings can invalidate or refine the original questions.
E10,commercial_market,question_engine,material_commercial_finding,ITERATIVE_RETURN,finding affects growth/margin/customer/exit multiple assumptions,true,reopen question register,Commercial findings can challenge growth and valuation assumptions.
E11,operational,question_engine,material_operational_finding,ITERATIVE_RETURN,"finding affects execution feasibility, capex, synergies or KPI baseline",true,reopen question register,Operational evidence can create new diligence questions.
E12,management_sponsor,question_engine,material_sponsor_or_management_finding,ITERATIVE_RETURN,"finding affects sponsor reliance, governance, management quality or alignment",true,reopen question register,Sponsor/management risk often reframes underwriting rather than simply adding a checklist item.
E13,financial_qoe,valuation_model,normalized_financial_basis,BLOCKS_FINAL_OUTPUT,final valuation relies on earnings/cash-flow basis,true,allow draft model; block IC-ready valuation,You cannot set final valuation on an unverified or unaccepted earnings basis.
E14,commercial_market,valuation_model,commercial_assumptions,BLOCKS_FINAL_OUTPUT_WHEN_MATERIAL,"growth, margin, customer, or exit multiple assumptions are material to returns",true,block unsupported final growth/multiple assumptions,Commercial evidence drives growth/margin/exit multiple inputs.
E15,operational,valuation_model,operating_assumptions,BLOCKS_FINAL_OUTPUT_WHEN_MATERIAL,"capex, synergies, integration, or operating plan materially affects returns",true,require evidence/risk acceptance for operational value drivers,Operational feasibility changes cash flows and value creation.
E16,financing,valuation_model,debt_terms_and_covenants,BLOCKS_FINAL_OUTPUT_WHEN_MATERIAL,"leverage, financing condition, covenant or liquidity risk affects returns/downside",true,require debt/covenant terms in model or risk acceptance,Debt terms change return distribution and downside.
E17,tax,structuring,tax_structure,CONDITIONAL_BLOCKS,"tax affects vehicle choice, leakage, filing obligation, or liability",true,hard-block structure only when material; otherwise warn,Tax is a blocker only where it materially changes economics or feasibility.
E18,legal,structuring,legal_rights_liabilities_authority,BLOCKS,legal rights/liabilities/authority affect structure or signing,true,block signing if legal authority/doc consistency unresolved,Legal rights and liabilities must be reflected in structure and docs.
E19,structuring,valuation_model,security_rights_map,BLOCKS_FINAL_OUTPUT,security/rights/fees/vehicle affect economics,true,require security economics before IC-ready valuation,"Security terms and rights are part of the economics, not a legal afterthought."
E20,valuation_model,question_engine,model_gap_or_sensitivity,ITERATIVE_RETURN,unresolved assumption drives returns/downside or IC recommendation,true,reopen question register or require risk acceptance,The model reveals which assumptions matter and what evidence is missing.
E21,valuation_model,investment_decision,ValuationCase.IC_ready,BLOCKS,investment decision concerns capital commitment or material action,false,block decision package without final model or exception,Authority needs a risk/return case.
E22,question_engine,investment_decision,critical_question_status,BLOCKS,critical questions unresolved and not risk-accepted,false,show unresolved questions and require risk acceptance,IC should not unknowingly approve unresolved critical uncertainty.
E23,investment_decision,transaction_documentation,DecisionRecord.approved_terms,BLOCKS_FINAL_OUTPUT,"binding documents are being finalized, signed, or used to authorize funding",true,"allow drafting; block finalization, signing, and funding before approval or a tracked conditional-authority route","Documentation may be prepared in parallel, but binding execution must implement an authorized decision."
E24,legal,transaction_documentation,legal_authority_and_document_consistency,BLOCKS,signing/funding requires authority and doc consistency,true,hard-block signing if unresolved,Legal authority and document consistency are hard execution blockers.
E25,tax,transaction_documentation,material_tax_clearance,CONDITIONAL_BLOCKS,tax structure is material to signed docs or economics,true,block only if material; otherwise note/warn,Tax can be either a true blocker or a review layer depending on materiality.
E26,transaction_documentation,closing_admin,ExecutionDocumentSet.signed,BLOCKS_FINAL_OUTPUT,"a position, cost basis, funding, proceeds, or ownership record is being created or changed",true,allow closing preparation; block position creation or cash release without executed authority and event evidence,"Administration may be prepared in parallel, but capital and position records require executed authority or realization evidence."
E27,closing_admin,monitoring,PositionRecord.live_or_residual,BLOCKS,monitoring live exposure,false,start monitoring when live/residual exposure exists,Monitoring requires a position and baseline.
E28,monitoring,reunderwriting,MonitoringSignal.material,TRIGGERS,"material variance, new money, covenant/liquidity issue, exit process, impairment or time-based review",false,open UR/re-underwriting workflow,Material post-close evidence requires outcome calibration.
E29,reunderwriting,investment_decision,material_action_recommendation,CONDITIONAL_BLOCKS,"new money, sell, impairment, restructure or material valuation/action proposed",false,route to required authority,Material post-close actions need decision authority.
E30,reunderwriting,structuring,follow_on_rescue_restructure_terms,CONDITIONAL_BLOCKS,"UR recommends follow-on, rescue, recapitalization, amendment or restructuring",true,open structure/legal execution branch,New-money and restructuring decisions require updated rights/security/economics.
E31,reunderwriting,transaction_documentation,approved_follow_on_or_restructure,CONDITIONAL_BLOCKS,"approved action requires signed amendment, subscription, commitment or restructuring docs",false,block funding/position update until docs/evidence exist,Post-close action changes exposure and must be documented.
E32,reunderwriting,monitoring,hold_or_no_action_decision,LOOP_RETURN,recommendation is hold/no action/defer or decline support while live exposure remains,false,reset monitoring baseline and risk flags,A hold decision still changes what the system should monitor.
E33,reunderwriting,exit_realization,sell_or_writeoff_recommendation,TRIGGERS,"current analysis recommends sell, exit, realization or write-off",false,open exit-realization workflow and require current sell/hold rationale and return bridge,An approved sell or write-off recommendation starts the exit-realization workflow.
E34,monitoring,exit_realization,external_sale_process_or_realization_event,TRIGGERS,sale process or realization event appears directly during monitoring,false,open exit workflow and require outcome analysis,Some exit events arise before a formal UR document is produced.
E35,exit_realization,closing_admin,OutcomeRecord.proceeds_or_writeoff,BLOCKS,"proceeds, write-off, partial realization or final exposure must be recorded",false,record proceeds/final exposure/closed status,Outcomes must be reconciled into capital records.
E36,exit_realization,monitoring,residual_exposure_flag,LOOP_RETURN,partial exit or residual exposure remains,false,keep residual position in monitoring,Partial realization does not close the workflow.
E37,question_engine,operational,operational_questions,PARALLEL_SOFT,a critical operational or execution-feasibility question exists,true,"route the question to the operational owner; unresolved critical status blocks decision, not work start",Questions guide operational diligence while evidence can arrive iteratively.
E38,question_engine,management_sponsor,management_sponsor_governance_questions,PARALLEL_SOFT,"a critical management, sponsor, alignment, or governance question exists",true,"route the question to the assessment owner; unresolved critical status blocks decision, not work start","Management, sponsor, and governance assessment should answer explicit decision-relevant questions."
E39,question_engine,legal,legal_questions,PARALLEL_SOFT,"a critical legal-rights, liability, authority, or documentation question exists",true,route the question to legal; unresolved signing-critical status blocks execution,"Legal work should be driven by identified rights, liabilities, authority, and execution questions."
E40,question_engine,tax,tax_questions,PARALLEL_SOFT,"a potentially material tax, leakage, filing, liability, or vehicle question exists",true,route the question to tax; block only when the unresolved effect is material,Tax analysis should focus on issues capable of changing economics or execution.
E41,question_engine,financing,financing_questions,PARALLEL_SOFT,"a critical leverage, covenant, liquidity, or financing-condition question exists",true,route the question to financing; unresolved material status blocks final valuation or execution,Financing work should test the debt and liquidity assumptions that drive returns and downside.
E42,question_engine,structuring,structuring_questions,PARALLEL_SOFT,"a critical security, vehicle, rights, fees, or governance question exists",true,route the question to structuring; unresolved material status blocks final economics or documentation,Structure must answer the rights and economics questions created by the investment case.
E43,legal,question_engine,material_legal_finding,ITERATIVE_RETURN,"a finding changes rights, liabilities, authority, conditions, economics, or execution feasibility",true,reopen or create the affected question and mark downstream blockers,Material legal findings can invalidate assumptions or require a different structure or decision.
E44,tax,question_engine,material_tax_finding,ITERATIVE_RETURN,"a finding changes leakage, liability, vehicle choice, filing obligations, or execution feasibility",true,reopen or create the affected question and mark downstream blockers,"Material tax findings can change economics, structure, or ability to execute."
E45,financing,question_engine,material_financing_finding,ITERATIVE_RETURN,"a finding changes leverage, covenants, liquidity, financing certainty, returns, or downside",true,reopen or create the affected question and mark model or execution blockers,Financing findings can materially change the risk-return case.
E46,structuring,question_engine,material_structuring_finding,ITERATIVE_RETURN,"a finding changes security economics, rights, governance, fees, ownership, or vehicle feasibility",true,reopen or create the affected question and mark valuation or documentation blockers,Structuring findings can change the economics and the rights actually being underwritten.
