control_id,component,classification,rule,rationale
EC_001,Stable identity and lineage,ENFORCE,"Stable entity identities, version lineage, supersession, and immutable decision references are mandatory.","Without stable identity and lineage, historical decisions cannot be audited or safely reopened."
EC_002,Explicit workflow events,ENFORCE,Every state or transition change requires an explicit triggering event and append-only workflow record.,"Time, silence, document circulation, or user interpretation cannot determine state."
EC_003,State predicates,ENFORCE,"Entry, active, completion, and exit predicates must resolve deterministically from canonical objects and statuses.","Deterministic resolution is required for code, audit, and recovery."
EC_004,Transition controls,ENFORCE,"Triggers, guards, gates, permission checks, authority actions, materiality behavior, exceptions, and idempotency are mandatory.","A transition is a controlled business action, not a sequence hint."
EC_005,Unhappy paths,ENFORCE,"Decline, defer, abandonment, failure, backtrack, skip, revival, partial outcome, and residual exposure are first-class paths.","Exceptional outcomes affect capital, accountability, and analytical freshness."
EC_006,Permission versus authority,ENFORCE,"Permission to access or edit never creates authority to approve, waive, accept risk, commit capital, or release funds.",Access administration and investment authority are distinct control planes.
EC_007,Approval records,ENFORCE,"Every approval, waiver, override, risk acceptance, commitment, funding release, or exit authorization creates an immutable record.",Authority cannot be inferred or overwritten.
EC_008,Evidence sufficiency,ENFORCE,"Evidence availability, relevance, reliability, completeness, recency, corroboration, sufficiency, and conclusion support remain distinct.",A document’s existence does not make a conclusion decision-ready.
EC_009,Question linkage,ENFORCE,"Material uncertainty becomes an owned question linked to assumptions, evidence needs, status, resolution, decision effect, and reopening conditions.",Unstructured discomfort cannot be governed or tested.
EC_010,Model versus valuation,ENFORCE,Financial modeling and valuation/returns are separate workstreams connected by typed model-case dependencies.,Computation of operating and financing outcomes is epistemically distinct from applying valuation methods and security waterfalls.
EC_011,Staleness propagation,ENFORCE,"Material upstream changes stale downstream assumptions, models, valuations, decision packages, execution documents, or monitoring conclusions.",Downstream outputs cannot remain current after their basis changes.
EC_012,Monitoring baseline,ENFORCE,Monitoring tests actual evidence against an immutable approved baseline and may create a re-underwriting trigger.,Storage of periodic reporting alone does not control investment performance.
EC_013,Re-underwriting,ENFORCE,"Re-underwriting compares current evidence with the approved basis and supports hold, sell, follow-on, restructure, impair, or other successor decisions.",Portfolio decisions require explicit outcome calibration.
EC_014,Conflict and segregation,ENFORCE,"Recusal, quorum recalculation, self-approval prohibitions, preparer/approver separation, and commitment/funding separation apply where configured by authority class.",Control quality depends on independent authority and attributable action.
EC_015,Materiality thresholds,CONFIGURE,Numerical and qualitative materiality thresholds are governed by versioned firm policy.,"Materiality depends on mandate, exposure, stage, object type, and risk appetite."
EC_016,Role labels and quorum,CONFIGURE,"Role names, committee composition, quorum, authority limits, and delegation eligibility are configurable.",Governance structures differ while the underlying authority mechanics remain constant.
EC_017,Document templates,CONFIGURE,"Templates, section ordering, labels, and presentation conventions are configurable views over canonical objects.",Presentation convention should not define domain identity.
EC_018,Evidence phase thresholds,CONFIGURE,"Minimum evidence categories, recency, corroboration, proxy acceptance, and waiver authority vary by phase and policy.",Screening and capital commitment require different proof levels.
EC_019,Valuation methods,CONFIGURE,"Permitted valuation methods, peer criteria, sensitivity ranges, and scenario weighting are configurable by asset and mandate.",No single method applies to every asset or security.
EC_020,Archetype extensions,CONFIGURE,"Carve-out, founder, public-market, auction, buy-and-build, rescue, and sponsor-context extensions activate under explicit conditions.",The universal core should not force irrelevant objects onto every transaction.
EC_021,Workstream review cadence,CONFIGURE,"Review frequency, monitoring schedules, escalation windows, and service levels are configurable.","Timing depends on exposure, volatility, covenants, and policy."
EC_022,Automation level,CONFIGURE_WITH_GUARDRAILS,"Extraction, reconciliation, calculation, alerts, and structured views may be automated; causal judgment, materiality, recommendation, risk acceptance, and authority remain explicitly assigned.",Automation should reduce movement and consistency work without obscuring judgment or authority.
