id,from,to,trigger_event,guard_condition,transition_action,edge_type,load_bearing_or_habitual,exception_route
T00,START,S0_INTAKE,DEAL_REGISTERED,"No active canonical DealRecord exists for the same opportunity, or an explicit related-process record is required.",Create DealRecord; resolve or queue identity matching; assign preliminary owner and process type.,BLOCKS_NEXT_STATE,LOAD_BEARING,"If duplicate identity unresolved, remain in S0 with duplicate_conflict flag."
T01,S0_INTAKE,S1_ACCESS_CLEARANCE,CONFIDENTIAL_MATERIAL_REQUIRED,DealRecord.identity_resolved == true AND confidential material is needed before further case review.,Open access/NDA task; block confidential ingestion until resolved.,BLOCKS_CONFIDENTIAL_INGESTION,LOAD_BEARING,"If only public/teaser review is needed, bypass to S2 with public_only waiver."
T02,S0_INTAKE,S2_CASE_INGESTION,PUBLIC_OR_TEASER_MATERIAL_AVAILABLE,DealRecord.identity_resolved == true AND AccessGrant.status == 'waived_public_only'.,Ingest public/teaser materials and mark confidentiality basis.,ALLOWED_SKIP_WITH_WAIVER,CONDITIONAL_LOAD_BEARING,"If confidential materials arrive, route back to S1."
T03,S1_ACCESS_CLEARANCE,S2_CASE_INGESTION,ACCESS_GRANTED or NDA_EXECUTED or PUBLIC_ONLY_EXCEPTION_APPROVED,"AccessGrant.status in ['granted','waived_public_only'].",Permit source material ingestion under confidentiality rules.,BLOCKS_NEXT_STATE,LOAD_BEARING,ACCESS_DENIED routes to SX with reason_code='access_denied'.
T04,S2_CASE_INGESTION,S3_SCREENING_ASSESSMENT,CASE_MATERIAL_INDEXED,SourceMaterialSet.index_status == 'indexed' AND initial_claims_extracted == true.,Generate or request ScreeningAssessment.,BLOCKS_SCREENING,LOAD_BEARING,"If source materials insufficient, route to SX or remain S2 with information_request_pending."
T05,S3_SCREENING_ASSESSMENT,S4_QUESTION_PLANNING,SCREENING_APPROVED or SCREENING_EXCEPTION_APPROVED,"ScreeningAssessment.decision in ['proceed_to_diligence','proceed_by_exception'].",Initialize QuestionRegister and workstream plan.,BLOCKS_HEAVY_DILIGENCE,LOAD_BEARING,Screening declined routes to SX. Deferred remains S3 with deferred_reason.
T06,S4_QUESTION_PLANNING,S5_DILIGENCE_ACTIVE,WORKSTREAMS_ASSIGNED,"QuestionRegister.status == 'baselined' AND every critical question has an owner, evidence requirement, and target workstream.",Start active workstream tasks; create dependency graph instance for deal.,BLOCKS_UNCONTROLLED_DILIGENCE,LOAD_BEARING,"In an accelerated process, allow S5 with an ExceptionRecord, but block S7 until unresolved critical questions are answered or covered by a RiskAcceptanceRecord."
T07,S5_DILIGENCE_ACTIVE,S4_QUESTION_PLANNING,MATERIAL_FINDING_REOPENS_QUESTION,WorkstreamOutput.materiality == 'material' AND finding affects thesis/risk/valuation/terms.,Reopen QuestionRegister; assign new question and owner; mark downstream blockers.,ITERATIVE_RETURN,CONDITIONAL_LOAD_BEARING,"If finding immaterial, log as note and continue S5."
T08,S5_DILIGENCE_ACTIVE,S6_UNDERWRITING_VALUATION,CRITICAL_WORKSTREAMS_COMPLETE_OR_ACCEPTED,"All critical WorkstreamTask.status values are in ['complete','waived','risk_accepted']; every material finding is linked to a question, assumption, risk, or valuation input.",Promote model/valuation to IC-ready preparation.,BLOCKS_FINAL_VALUATION,LOAD_BEARING,"If valuation starts earlier, S5 and S6 may run in parallel with ValuationCase.status == 'draft'; S7 remains blocked until the final guard is satisfied."
T09,S6_UNDERWRITING_VALUATION,S4_QUESTION_PLANNING,MODEL_CRITICAL_GAP_FOUND,ValuationCase.sensitivity or ModelCase assumption lacks evidence and affects returns/downside/decision.,Create model-driven question; route to appropriate workstream.,ITERATIVE_RETURN,CONDITIONAL_LOAD_BEARING,"If the gap is explicitly accepted by the required authority, create a RiskAcceptanceRecord and continue."
T10,S6_UNDERWRITING_VALUATION,S7_INVESTMENT_DECISION,FINAL_MODEL_APPROVED_FOR_IC,ValuationCase.status == 'IC_ready' AND every critical question is answered or linked to a RiskAcceptanceRecord.,Submit decision package; lock current evidence/model snapshot.,BLOCKS_DECISION,LOAD_BEARING,"If a package is submitted with unresolved critical questions, create a decision blocker unless the required authority records a RiskAcceptanceRecord."
T11,S7_INVESTMENT_DECISION,S8_EXECUTION_DOCUMENTATION,IC_APPROVED or APPROVED_WITH_CONDITIONS,"DecisionRecord.decision in ['approved','approved_with_conditions'] AND conditions are tracked.",Start legal/structuring execution; copy approved economic terms into documentation checklist.,BLOCKS_SIGNING,LOAD_BEARING,If declined route to SX; if deferred route to S4/S5/S6 based on condition type.
T12,S8_EXECUTION_DOCUMENTATION,S7_INVESTMENT_DECISION,MATERIAL_TERMS_CHANGED,"Execution terms deviate from approved economics, rights, security, tax, or risk protections.",Route deviation for re-approval; block signing/funding until resolved.,BACKTRACK_REQUIRED,LOAD_BEARING,"If deviation immaterial, record counsel/owner waiver and continue S8."
T13,S8_EXECUTION_DOCUMENTATION,S9_CLOSING_ADMINISTRATION,DOCUMENTS_SIGNED or CLOSING_NOTICE_RECEIVED or FUNDING_COMPLETED,ExecutionDocumentSet.status == 'signed' AND required conditions are satisfied or explicitly waived.,"Record funding, cost basis, ownership or security, and open or update PositionRecord.",BLOCKS_POSITION_CREATION,LOAD_BEARING,"If signing fails or conditions not satisfied, remain S8 or route SX with execution_failed."
T14,S9_CLOSING_ADMINISTRATION,S10_MONITORING,POSITION_OPENED or POSITION_UPDATED,"PositionRecord.status in ['live','residual'] AND monitoring baseline exists.",Start monitoring cadence; create KPI/valuation/cash-flow tasks.,BLOCKS_MONITORING_BASELINE,LOAD_BEARING,"If cost basis or baseline missing, keep S9 blocker until completed."
T15,S10_MONITORING,S11_REUNDERWRITING,MATERIAL_VARIANCE_TRIGGERED or FOLLOW_ON_REQUEST_RECEIVED or COVENANT_OR_LIQUIDITY_ISSUE_TRIGGERED or EXIT_OPPORTUNITY_TRIGGERED or TIME_BASED_REVIEW_TRIGGERED,"MonitoringSignal.materiality in ['material','trigger'] OR new decision need exists.",Open ReunderwritingRecord; compare current facts to prior underwriting.,TRIGGERED_LOOP,LOAD_BEARING,"If signal immaterial, log in monitoring and continue S10."
T16,S11_REUNDERWRITING,S10_MONITORING,HOLD_DECISION or NO_ACTION_DECISION or SUPPORT_DECLINED_BUT_POSITION_LIVE,"ReunderwritingRecord.recommendation in ['hold','defer','decline_support'] AND PositionRecord.status in ['live','residual'].","Update monitoring baseline, risk flags, and unresolved questions.",LOOP_RETURN,LOAD_BEARING,"If decline support creates terminal/no exposure outcome, route SX or S13 based on exposure."
T17,S11_REUNDERWRITING,S8_EXECUTION_DOCUMENTATION,FOLLOW_ON_APPROVED or RESCUE_APPROVED or RESTRUCTURE_APPROVED,Material action approved AND updated terms/security/rights require documentation.,Open follow-on/rescue/restructure execution branch; require old-money vs new-money analysis link.,EXECUTION_BRANCH,LOAD_BEARING,"If action is rejected, route to S10 or SX with reason."
