id,type,label,data
claim:0000,claim,,"{""type"": ""claim"", ""value"": ""74.0"", ""unit"": ""$m"", ""epistemic"": ""asserted"", ""direction"": ""supports"", ""statement"": ""The seller presents FY2025 revenue of $74.0 million as a management forecast."", ""locator"": ""Act I, headline seller case table"", ""derivation"": null, ""deal"": ""keystone"", ""id"": ""claim:0000""}"
entity:alderstone,entity,Alderstone,"{""type"": ""entity"", ""label"": ""Alderstone"", ""id"": ""entity:alderstone""}"
metric:revenue,metric,Revenue,"{""type"": ""metric"", ""label"": ""Revenue"", ""id"": ""metric:revenue""}"
period:fy2025,period,FY2025,"{""type"": ""period"", ""label"": ""FY2025"", ""id"": ""period:fy2025""}"
"perimeter:alderstone_consolidated_revenue,_management_forecast_basis",perimeter,"Alderstone consolidated revenue, management forecast basis","{""type"": ""perimeter"", ""label"": ""Alderstone consolidated revenue, management forecast basis"", ""id"": ""perimeter:alderstone_consolidated_revenue,_management_forecast_basis""}"
source:cim,source,CIM,"{""type"": ""source"", ""label"": ""CIM"", ""id"": ""source:cim""}"
author:seller/management,author,Seller/Management,"{""type"": ""author"", ""label"": ""Seller/Management"", ""id"": ""author:seller/management""}"
claim:0001,claim,,"{""type"": ""claim"", ""value"": ""12.7"", ""unit"": ""$m"", ""epistemic"": ""asserted"", ""direction"": ""supports"", ""statement"": ""The seller presents adjusted EBITDA of $12.7 million, including $2.5 million of seller adjustments."", ""locator"": ""Act I, headline seller case table"", ""derivation"": null, ""deal"": ""keystone"", ""id"": ""claim:0001""}"
metric:ebitda,metric,EBITDA,"{""type"": ""metric"", ""label"": ""EBITDA"", ""id"": ""metric:ebitda""}"
perimeter:alderstone_seller-adjusted_ebitda_including_$2.5m_of_seller_adjustments,perimeter,Alderstone seller-adjusted EBITDA including $2.5m of seller adjustments,"{""type"": ""perimeter"", ""label"": ""Alderstone seller-adjusted EBITDA including $2.5m of seller adjustments"", ""id"": ""perimeter:alderstone_seller-adjusted_ebitda_including_$2.5m_of_seller_adjustments""}"
claim:0002,claim,,"{""type"": ""claim"", ""value"": ""17.2"", ""unit"": ""%"", ""epistemic"": ""asserted"", ""direction"": ""supports"", ""statement"": ""The seller presents an EBITDA margin of 17.2% based on seller-defined EBITDA."", ""locator"": ""Act I, headline seller case table"", ""derivation"": null, ""deal"": ""keystone"", ""id"": ""claim:0002""}"
metric:ebitda_margin,metric,EBITDA Margin,"{""type"": ""metric"", ""label"": ""EBITDA Margin"", ""id"": ""metric:ebitda_margin""}"
perimeter:alderstone_seller-defined_ebitda_basis,perimeter,Alderstone seller-defined EBITDA basis,"{""type"": ""perimeter"", ""label"": ""Alderstone seller-defined EBITDA basis"", ""id"": ""perimeter:alderstone_seller-defined_ebitda_basis""}"
claim:0003,claim,,"{""type"": ""claim"", ""value"": ""7.6"", ""unit"": ""%"", ""epistemic"": ""asserted"", ""direction"": ""supports"", ""statement"": ""The seller presents the largest customer as 7.6% of revenue, measured by billing account rather than ultimate parent."", ""locator"": ""Act I, headline seller case table"", ""derivation"": null, ""deal"": ""keystone"", ""id"": ""claim:0003""}"
metric:customer_concentration,metric,Customer Concentration,"{""type"": ""metric"", ""label"": ""Customer Concentration"", ""id"": ""metric:customer_concentration""}"
"perimeter:largest_customer_measured_at_billing-account_level,_not_ultimate_parent",perimeter,"Largest customer measured at billing-account level, not ultimate parent","{""type"": ""perimeter"", ""label"": ""Largest customer measured at billing-account level, not ultimate parent"", ""id"": ""perimeter:largest_customer_measured_at_billing-account_level,_not_ultimate_parent""}"
area:customer,area,Customer,"{""type"": ""area"", ""label"": ""Customer"", ""id"": ""area:customer""}"
claim:0004,claim,,"{""type"": ""claim"", ""value"": ""18.2"", ""unit"": ""%"", ""epistemic"": ""derived"", ""direction"": ""contradicts"", ""statement"": ""Buyer found Riverton Industrial Group actually represents 18.2% of revenue on a parent basis versus the seller-advertised 7.6% billing-account figure."", ""locator"": ""Act II, customer-concentration trap"", ""derivation"": ""Aggregated seven billing accounts across six facilities belonging to Riverton Industrial Group as percentage of total revenue, per customer schedule in data room."", ""deal"": ""keystone"", ""id"": ""claim:0004""}"
