model_node_id,name,kind,sheet,cell,value,unit,definition,period,perimeter
MN-EV,Enterprise value,input,Inputs,B3,108.0,$mm,,Opening / 2026-03-31,Project Keystone enterprise value
MN-SELLER-NET-DEBT-AND-DEBT-LIKE-IT,Seller net debt and debt-like items,input,Inputs,B4,10.2,$mm,,Opening / 2026-03-31,
MN-ROLLOVER,Seller rollover,input,Inputs,B7,12.0,$mm,,Opening / 2026-03-31,
MN-SPONSOR-EQUITY,Sponsor initial cash equity,input,Inputs,B8,62.0,$mm,,Opening / 2026-03-31,
MN-DEBT,First-lien opening debt,input,Inputs,B9,42.8,$mm,,Opening / 2026-03-31,
MN-OPENING-CASH,Opening cash,input,Inputs,B10,3.0,$mm,,Opening / 2026-03-31,
MN-CONCENTRATION,Largest ultimate-parent concentration,input,Inputs,B13,0.182,%,,FY2025A,
MN-NWC,Normalized NWC target,input,Inputs,B14,8.4,$mm,,Closing reference,
MN-SELLER-EBITDA,Seller-adjusted EBITDA,input,QoE_Bridge,C19,12.7,$mm,DEF-EBITDA-SELLER,FY2025A / seller adjustment bridge,Alderstone consolidated seller-adjusted EBITDA
MN-QOE-EBITDA,Qoe-adjusted EBITDA,input,QoE_Bridge,D19,11.9,$mm,DEF-EBITDA-QOE,FY2025A,Alderstone consolidated QoE-normalized EBITDA
MN-FIRM-EBITDA,Firm-adjusted EBITDA,input,QoE_Bridge,E19,11.4,$mm,DEF-EBITDA-FIRM,FY2025A,Alderstone consolidated Firm-underwritten EBITDA
MN-COV-EBITDA,Cov-adjusted EBITDA,input,QoE_Bridge,F19,12.2,$mm,DEF-EBITDA-COV,FY2025A,Alderstone consolidated Covenant EBITDA
MN-INTEGRATION-COST-ADJ,Integration and systems costs,adjustment_input,QoE_Bridge,E7,0.2,$mm,DEF-ADJ-INTEGRATION,FY2025A,Alderstone consolidated Firm-underwritten EBITDA
MN-RELATED-PARTY-RENT-NORM,Related-party rent normalization,adjustment_input,QoE_Bridge,E14,0.1,$mm,DEF-ADJ-RENT,FY2025A,Alderstone consolidated Firm-underwritten EBITDA
MN-BASE-GROWTH,Standalone Base - Platform growth,assumption_series,Inputs,C40:H40,"[0.07, 0.07, 0.07, 0.07, 0.07, 0.07]",%,,FY2026E-FY2031E,Standalone Base scenario
MN-BASE-EBITDA-MARGIN,Standalone Base - Firm EBITDA margin,assumption_series,Inputs,C42:H42,"[0.156, 0.161, 0.165, 0.169, 0.173, 0.177]",%,,FY2026E-FY2031E,Standalone Base scenario
MN-BASE-DSO,Standalone Base - DSO,assumption_series,Inputs,C43:H43,"[64, 63, 62, 61, 60, 60]",days,,FY2026E-FY2031E,Standalone Base scenario
MN-BASE-WIP,Standalone Base - WIP / revenue,assumption_series,Inputs,C44:H44,"[0.067, 0.065, 0.063, 0.061, 0.06, 0.06]",%,,FY2026E-FY2031E,Standalone Base scenario
MN-BASE-CAPEX,Standalone Base - Capex / revenue,assumption_series,Inputs,C45:H45,"[0.016, 0.016, 0.016, 0.016, 0.016, 0.016]",%,,FY2026E-FY2031E,Standalone Base scenario
MN-BASE-EXIT-MULT,Standalone Base - Exit multiple,assumption_series,Inputs,C46:H46,"[9, 9, 9, 9, 9, 9]",x,,FY2026E-FY2031E,Standalone Base scenario
MN-DOWN-GROWTH,Standalone Downside - Platform growth,assumption_series,Inputs,C47:H47,"[0.04, 0.02, 0.04, 0.05, 0.05, 0.05]",%,,FY2026E-FY2031E,Standalone Downside scenario
MN-DOWN-EBITDA-MARGIN,Standalone Downside - Firm EBITDA margin,assumption_series,Inputs,C49:H49,"[0.145, 0.135, 0.145, 0.153, 0.158, 0.162]",%,,FY2026E-FY2031E,Standalone Downside scenario
MN-DOWN-DSO,Standalone Downside - DSO,assumption_series,Inputs,C50:H50,"[67, 75, 72, 69, 67, 66]",days,,FY2026E-FY2031E,Standalone Downside scenario
MN-DOWN-WIP,Standalone Downside - WIP / revenue,assumption_series,Inputs,C51:H51,"[0.07, 0.08, 0.075, 0.07, 0.068, 0.066]",%,,FY2026E-FY2031E,Standalone Downside scenario
MN-DOWN-CAPEX,Standalone Downside - Capex / revenue,assumption_series,Inputs,C52:H52,"[0.016, 0.016, 0.016, 0.016, 0.016, 0.016]",%,,FY2026E-FY2031E,Standalone Downside scenario
