requirement_id,priority,capability,requirement
PR_001,MUST,Canonical object registry,"Create and maintain stable identities, aliases, relationships, current projections, versions, supersession, and archive status for canonical objects."
PR_002,MUST,Deterministic state resolution,"Resolve one primary workflow state from explicit predicates and precedence, without user interpretation."
PR_003,MUST,Controlled transitions,"Execute transitions only from explicit events after guard, gate, permission, authority, materiality, condition, and idempotency checks."
PR_004,MUST,Unhappy-path execution,"Support decline, defer, stall, abandonment, failure, backtrack, skip, revival, partial exit, residual exposure, and permanent closure."
PR_005,MUST,Typed workstream orchestration,"Start, block, complete, reopen, and parallelize workstreams according to typed input/output and dependency contracts."
PR_006,MUST,Question engine,"Create, assign, link, resolve, reopen, and escalate questions with assumption, evidence, owner, phase, and decision-impact lineage."
PR_007,MUST,Evidence provenance,"Preserve source, permitted use, version, extraction, relevance, reliability, recency, completeness, corroboration, and sufficiency."
PR_008,MUST,Reasoning records,"Capture analytical proposition, evidence, operator, alternatives, finding, confidence, uncertainty, and downstream effect."
PR_009,MUST,Assumption lifecycle,"Version assumption states and preserve the exact assumption versions used by each model, valuation, and decision."
PR_010,MUST,Financial model control,"Maintain model cases, checks, scenarios, sensitivities, capital structure, debt, liquidity, and return outputs with lineage and staleness."
PR_011,MUST,Valuation and waterfall control,"Maintain valuation inputs, methods, enterprise-to-equity bridges, security waterfalls, dilution, returns, downside, and hold-versus-sell cases separately from financial models."
PR_012,MUST,Evidence sufficiency,"Evaluate phase-specific relevance, reliability, completeness, recency, corroboration, proxy acceptance, confidence, and residual uncertainty."
PR_013,SHOULD,Adversarial challenge,"Support structured challenges to thesis, downside, adjustments, execution, sponsor/management credibility, security, valuation, exit, missing evidence, and old-money/new-money economics."
PR_014,MUST,IC decision package,"Assemble a versioned decision basis with recommendation, supporting and opposing evidence, unresolved questions, risks, model and valuation versions, conditions, dissent, and authority record."
PR_015,MUST,Execution conditions,"Track signing, closing, funding, and other conditions with evidence, status, waiver authority, expiry, and successor lineage."
PR_016,MUST,Monitoring baseline,"Compare metric observations, covenants, reporting, events, and valuation updates against the immutable approved baseline."
PR_017,MUST,Trigger and re-underwriting loop,"Create re-underwriting triggers, diagnose variances, update assumptions/models/valuations, and support hold, sell, follow-on, restructure, impair, or other successor decisions."
PR_018,MUST,Outcome and realization,"Track exit routes, sale decisions, proceeds, costs, partial outcomes, residual exposure, write-offs, and reconciliation to position and capital records."
PR_019,MUST,Permission evaluation,Evaluate object/action permission independently from authority and create immutable permission-evaluation records.
PR_020,MUST,Authority actions,"Require explicit, effective authority rules and records for approval, rejection, deferral, waiver, risk acceptance, signing, closing, commitment, funding, follow-on, restructure, impairment, exit, override, and revival."
PR_021,MUST,Delegation and conflict,"Support scoped delegation, expiry, revocation, recusal, quorum recalculation, self-approval prevention, and segregation of duties."
PR_022,MUST,Staleness propagation,"Create staleness records and reopen/recompute dependent workstreams when material upstream evidence, assumptions, terms, models, or baselines change."
PR_023,MUST,Immutable audit trail,"Preserve workflow, permission, authority, analytical, capital, exception, and outcome events with actor-role attribution and idempotency."
PR_024,MUST,Materiality engine,"Apply versioned configurable rules that produce explicit block, warn, reopen, trigger, escalate, accept, permit, or terminate consequences."
PR_025,SHOULD,Archetype activation,"Activate only the objects, relationships, questions, workstreams, and gates required by the transaction archetype."
PR_026,SHOULD,Structured document views,"Generate and ingest document representations without treating a document as the underlying decision, finding, assumption, or authority object."
PR_027,MUST,Automation boundary,"Automate extraction, reconciliation, calculation, consistency, lineage, alerts, and views while requiring attributed human judgment and authority where specified."
PR_028,MUST,Configuration management,"Version role definitions, policies, authority rules, thresholds, templates, methods, archetype extensions, retention, and review cadence."
PR_029,MUST,Data quality and exception handling,"Surface missing, conflicting, stale, inaccessible, or definition-inconsistent objects and require explicit disposition."
PR_030,SHOULD,Exportable machine contracts,"Expose the final state, graph, ontology, epistemic, governance, and requirement contracts in machine-readable form for downstream implementation planning."
